Data,Produto,Categoria,Região,Vendedor,Vendas,Quantidade,Custo,Lucro,Cidade,Latitude,Longitude
2024-04-04,Teclado,Armazenamento,Sul,Diego Lima,394,27,1767.4142178054085,-1373.41,Blumenau,-26.922444,-49.097153
2023-01-22,Memória RAM,Armazenamento,Leste,Diego Lima,2775,26,4959.451183507948,-2184.45,Desconhecida,,
2023-09-10,Webcam,Informática,Oeste,Eva Santos,3999,12,3051.951556064879,947.0500000000002,Desconhecida,,
2025-01-17,SSD,Periféricos,Oeste,Ana Silva,9747,27,7874.811662411023,1872.19,Desconhecida,,
2025-05-06,Memória RAM,Armazenamento,Oeste,Diego Lima,9323,20,320.28683480108043,9002.71,Desconhecida,,
2024-04-19,Headphone,Informática,Leste,Carla Dias,7887,7,7988.897490057422,-101.89999999999964,Desconhecida,,
2025-12-18,Memória RAM,Periféricos,Leste,Eva Santos,8483,25,5019.132436261623,3463.87,Desconhecida,,
2024-05-25,Headset,Armazenamento,Norte,Bruno Costa,1042,24,4504.959397201084,-3462.96,Belém,-1.491825,-48.520209
2024-11-30,Webcam,Armazenamento,Norte,Bruno Costa,5637,8,551.338545106677,5085.66,Boa Vista,2.774236,-60.647108
2025-09-02,Memória RAM,Periféricos,Sul,Ana Silva,7401,9,2244.764703193854,5156.24,Maringá,-23.399983,-51.905227
2023-07-09,Mouse,Periféricos,Norte,Carla Dias,7460,14,7403.328491269438,56.67000000000007,Boa Vista,2.819392,-60.668926
2025-08-15,Mouse,Informática,Sul,Diego Lima,2549,5,2885.6283452588145,-336.6300000000001,Curitiba,-25.466947,-49.25646
2024-11-17,Headset,Informática,Oeste,Bruno Costa,4790,21,5320.293347700627,-530.29,Desconhecida,,
2025-08-15,Headphone,Armazenamento,Norte,Ana Silva,3110,19,7996.011095316276,-4886.01,Manaus,-3.0925,-60.008228
2024-07-16,Webcam,Periféricos,Leste,Carla Dias,10541,21,2163.512133561646,8377.49,Desconhecida,,
2025-04-11,Teclado,Periféricos,Norte,Carla Dias,7475,16,4642.56056179479,2832.44,Rio Branco,-10.022318,-67.831228
2024-10-08,Headset,Periféricos,Sul,Ana Silva,1619,24,5595.787318201528,-3976.79,Florianópolis,-27.623942,-48.557147
2023-01-21,Headphone,Armazenamento,Norte,Ana Silva,11042,12,1383.847792798088,9658.15,Palmas,-10.275706,-48.36847
2025-04-20,Teclado,Periféricos,Oeste,Diego Lima,11347,21,1257.486704473762,10089.51,Desconhecida,,
2023-06-16,Mouse,Periféricos,Leste,Ana Silva,3524,4,3693.958660332733,-169.96000000000004,Desconhecida,,
2024-01-23,Mouse,Armazenamento,Sul,Diego Lima,8997,8,3135.635172333572,5861.360000000001,Maringá,-23.39211,-51.916869
2024-08-23,Teclado,Informática,Leste,Diego Lima,11110,7,5736.5862599099255,5373.41,Desconhecida,,
2023-11-12,Headset,Informática,Leste,Eva Santos,8384,15,630.509469872803,7753.49,Desconhecida,,
2023-01-14,Mouse,Armazenamento,Sul,Carla Dias,10653,6,7779.559660026268,2873.44,Curitiba,-25.406164,-49.277112
2023-08-30,Webcam,Periféricos,Leste,Carla Dias,8073,5,193.07369495179228,7879.93,Desconhecida,,
2025-02-15,SSD,Armazenamento,Leste,Carla Dias,5272,14,4842.429248742317,429.5699999999997,Desconhecida,,
2024-07-18,Memória RAM,Informática,Norte,Eva Santos,10002,21,4536.050159269716,5465.95,Manaus,-3.124384,-60.033598
2025-06-16,Teclado,Informática,Leste,Diego Lima,5537,13,1146.948588488228,4390.05,Desconhecida,,
2023-04-02,Teclado,Armazenamento,Leste,Diego Lima,7781,10,1275.254583091156,6505.75,Desconhecida,,
2025-08-13,Mouse,Armazenamento,Leste,Ana Silva,7376,18,6358.005703333444,1017.9899999999998,Desconhecida,,
2024-05-23,Headset,Informática,Leste,Eva Santos,5258,29,7109.49467062845,-1851.49,Desconhecida,,
2025-02-14,Webcam,Armazenamento,Sul,Ana Silva,2374,4,2321.494369799455,52.51000000000022,Joinville,-26.257582,-48.820825
2023-02-04,Headset,Informática,Oeste,Eva Santos,2260,8,3548.674594583542,-1288.67,Desconhecida,,
2023-07-25,Headphone,Armazenamento,Norte,Ana Silva,1107,24,2891.5607250237604,-1784.56,Belém,-1.478576,-48.530561
2025-10-22,Headphone,Armazenamento,Leste,Bruno Costa,7296,11,654.572342854283,6641.43,Desconhecida,,
2025-10-18,SSD,Armazenamento,Leste,Carla Dias,710,17,5411.77762844521,-4701.78,Desconhecida,,
2024-07-19,Mouse,Informática,Sul,Carla Dias,9672,18,6615.528043661066,3056.4700000000003,Maringá,-23.452823,-51.897639
2024-12-03,Mouse,Armazenamento,Oeste,Diego Lima,7563,21,2494.64451053836,5068.360000000001,Desconhecida,,
2024-02-06,Mouse,Informática,Leste,Bruno Costa,1462,25,7922.192285555288,-6460.19,Desconhecida,,
2024-12-30,SSD,Informática,Sul,Carla Dias,1971,26,680.744333676251,1290.26,Caxias do Sul,-29.15939,-51.164415
2023-06-11,Headphone,Armazenamento,Norte,Diego Lima,11344,11,5321.382453411005,6022.62,Boa Vista,2.815081,-60.721639
2023-07-21,Headset,Armazenamento,Norte,Bruno Costa,11745,16,3629.9658750466247,8115.030000000001,Manaus,-3.119601,-60.038714
2025-09-22,SSD,Informática,Leste,Carla Dias,5796,12,3617.0870567647135,2178.91,Desconhecida,,
2023-09-27,SSD,Informática,Leste,Ana Silva,5095,13,3704.553278985639,1390.4499999999998,Desconhecida,,
2025-03-26,Headset,Periféricos,Oeste,Eva Santos,5524,27,2128.759648507313,3395.24,Desconhecida,,
2024-03-31,Mouse,Informática,Oeste,Bruno Costa,2801,16,5747.257592471281,-2946.26,Desconhecida,,
2025-10-13,Webcam,Periféricos,Leste,Diego Lima,10156,23,5794.886086593413,4361.11,Desconhecida,,
2023-10-23,Headset,Periféricos,Sul,Bruno Costa,10083,26,2316.58511203815,7766.41,Joinville,-26.276226,-48.890427
2024-12-20,Headphone,Periféricos,Oeste,Diego Lima,4851,21,6695.627169998926,-1844.63,Desconhecida,,
2023-12-04,Teclado,Armazenamento,Leste,Bruno Costa,3027,1,2589.411953710613,437.59000000000015,Desconhecida,,
2025-05-28,Teclado,Armazenamento,Oeste,Diego Lima,5732,16,5822.737541973414,-90.73999999999978,Desconhecida,,
2025-12-12,Memória RAM,Informática,Leste,Carla Dias,11612,15,1038.318158695566,10573.68,Desconhecida,,
2025-03-02,Memória RAM,Periféricos,Norte,Ana Silva,5540,6,1416.1170110056655,4123.88,Macapá,0.028791,-51.117239
2023-08-05,SSD,Armazenamento,Leste,Carla Dias,4233,12,2581.101504505349,1651.9,Desconhecida,,
2025-02-02,Teclado,Armazenamento,Norte,Ana Silva,895,8,4783.480239929463,-3888.48,Macapá,0.040304,-51.108542
2023-07-07,Webcam,Armazenamento,Oeste,Carla Dias,8899,7,5192.450964991299,3706.55,Desconhecida,,
2024-01-15,Mouse,Armazenamento,Leste,Carla Dias,11643,2,3219.140881982401,8423.86,Desconhecida,,
2024-05-07,Headphone,Armazenamento,Oeste,Bruno Costa,1091,12,696.4860926352711,394.51,Desconhecida,,
2025-11-30,Memória RAM,Periféricos,Norte,Eva Santos,4173,21,3039.1864445743763,1133.81,Manaus,-3.077399,-60.048679
2023-01-15,Webcam,Periféricos,Leste,Diego Lima,2446,14,5535.03872639648,-3089.04,Desconhecida,,
2023-03-06,Headphone,Periféricos,Oeste,Diego Lima,1089,16,5394.284052152102,-4305.28,Desconhecida,,
2024-06-04,Headphone,Periféricos,Norte,Diego Lima,1760,11,1348.7555925871063,411.24,Macapá,0.016614,-51.02411
2024-10-09,Mouse,Informática,Oeste,Ana Silva,6450,20,141.64904453021987,6308.35,Desconhecida,,
2025-12-22,SSD,Periféricos,Sul,Diego Lima,1875,9,6043.614408985245,-4168.61,Maringá,-23.444903,-51.889696
2024-08-15,Teclado,Armazenamento,Norte,Diego Lima,9326,10,922.4358777711302,8403.56,Belém,-1.501309,-48.49669
2024-01-27,Mouse,Periféricos,Norte,Bruno Costa,9929,17,732.2052201971411,9196.79,Belém,-1.406562,-48.451032
2024-02-23,Webcam,Informática,Norte,Carla Dias,9678,12,101.39363732657466,9576.61,Manaus,-3.079921,-59.982355
2023-10-16,SSD,Armazenamento,Leste,Diego Lima,11479,6,3506.202501578864,7972.8,Desconhecida,,
2024-01-14,Webcam,Periféricos,Leste,Eva Santos,9003,19,4065.85009513445,4937.15,Desconhecida,,
2023-08-19,SSD,Periféricos,Leste,Diego Lima,7337,11,5130.299245496838,2206.7,Desconhecida,,
2025-10-14,Memória RAM,Periféricos,Sul,Ana Silva,182,9,2424.82561844368,-2242.83,Londrina,-23.279821,-51.193354
2023-02-10,Webcam,Armazenamento,Sul,Ana Silva,6135,21,5706.563753783297,428.4399999999996,Curitiba,-25.454303,-49.311024
2025-11-17,Mouse,Armazenamento,Norte,Ana Silva,3564,29,1421.1083106629771,2142.8900000000003,Palmas,-10.215989,-48.358972
2023-05-15,SSD,Informática,Sul,Diego Lima,1306,6,6669.361220633951,-5363.36,Londrina,-23.294562,-51.132144
2023-07-20,SSD,Armazenamento,Oeste,Bruno Costa,3276,27,4609.038764812329,-1333.04,Desconhecida,,
2025-02-18,Headphone,Armazenamento,Norte,Eva Santos,8402,25,4704.407401106623,3697.59,Belém,-1.42806,-48.443017
2025-07-18,Headphone,Periféricos,Norte,Diego Lima,1693,25,1741.4212771305365,-48.42000000000007,Macapá,-0.00071,-51.118006
2025-11-22,Headset,Armazenamento,Oeste,Bruno Costa,421,24,666.9412944590749,-245.94000000000003,Desconhecida,,
2025-12-07,Webcam,Periféricos,Norte,Bruno Costa,5445,25,3760.6204403989177,1684.38,Macapá,0.052666,-51.107217
2024-05-17,Headphone,Periféricos,Sul,Diego Lima,4226,16,4955.646659225083,-729.6499999999996,Florianópolis,-27.575974,-48.539888
2024-02-11,Headset,Armazenamento,Leste,Diego Lima,11730,20,832.76795260055,10897.23,Desconhecida,,
2025-03-15,Memória RAM,Informática,Oeste,Bruno Costa,6052,16,7608.23303826308,-1556.2299999999996,Desconhecida,,
2023-04-09,Memória RAM,Informática,Sul,Bruno Costa,11094,6,7844.88173304383,3249.12,Caxias do Sul,-29.204694,-51.217025
2024-11-14,Headphone,Armazenamento,Oeste,Bruno Costa,2859,5,4400.017027508537,-1541.0200000000004,Desconhecida,,
2024-12-26,Webcam,Informática,Oeste,Diego Lima,9496,21,7604.547709765377,1891.45,Desconhecida,,
2025-08-18,SSD,Periféricos,Norte,Bruno Costa,5371,4,1501.2062816403563,3869.79,Macapá,0.080462,-51.090755
2024-09-04,Teclado,Periféricos,Norte,Ana Silva,10087,2,281.3318266218372,9805.67,Boa Vista,2.865981,-60.723314
2024-10-04,Webcam,Armazenamento,Sul,Diego Lima,11774,28,392.1235194998882,11381.88,Caxias do Sul,-29.154402,-51.21881
2025-10-25,Mouse,Informática,Oeste,Ana Silva,8679,6,4733.098837060091,3945.9,Desconhecida,,
2024-05-17,Memória RAM,Informática,Norte,Carla Dias,6872,9,568.2037168196423,6303.8,Macapá,0.081523,-51.059796
2025-02-05,Headphone,Periféricos,Norte,Diego Lima,8351,28,7671.681206046769,679.3199999999997,Belém,-1.425364,-48.493462
2024-02-02,Headphone,Armazenamento,Oeste,Carla Dias,4294,17,1204.1110292144367,3089.8900000000003,Desconhecida,,
2025-05-20,SSD,Informática,Sul,Bruno Costa,5756,14,2493.4046239395907,3262.6,Blumenau,-26.958486,-49.033157
2025-03-05,Mouse,Armazenamento,Sul,Bruno Costa,6916,7,6594.34099182692,321.65999999999985,Florianópolis,-27.622136,-48.544923
2024-01-28,SSD,Informática,Oeste,Eva Santos,880,22,1812.4233589844173,-932.42,Desconhecida,,
2023-07-26,Mouse,Periféricos,Sul,Bruno Costa,5040,19,2004.3101909601992,3035.69,Maringá,-23.410189,-51.942043
2025-11-04,Teclado,Periféricos,Norte,Carla Dias,1798,1,5167.086929864864,-3369.09,Manaus,-3.126412,-60.006507
2025-06-10,Memória RAM,Armazenamento,Oeste,Bruno Costa,4378,29,2266.6018208349574,2111.4,Desconhecida,,
2025-05-13,Headphone,Periféricos,Norte,Diego Lima,11996,20,1802.1852613409865,10193.81,Porto Velho,-8.786416,-63.926734
2025-01-12,Headphone,Informática,Leste,Bruno Costa,2280,25,2093.087497300808,186.90999999999983,Desconhecida,,
2024-07-17,Teclado,Periféricos,Leste,Eva Santos,10738,15,3965.9281947785566,6772.07,Desconhecida,,
2025-10-17,Headset,Armazenamento,Sul,Bruno Costa,4516,18,7731.510992033338,-3215.51,Joinville,-26.339883,-48.816234
2023-04-06,Memória RAM,Armazenamento,Leste,Carla Dias,1656,3,6671.324497164928,-5015.32,Desconhecida,,
2024-04-29,SSD,Armazenamento,Norte,Carla Dias,2308,18,2334.113295316603,-26.110000000000127,Boa Vista,2.865597,-60.709247
2023-08-19,Teclado,Informática,Leste,Bruno Costa,3066,2,2957.915811304934,108.07999999999991,Desconhecida,,
2025-01-18,SSD,Informática,Norte,Carla Dias,3379,10,3758.937023992293,-379.94000000000005,Macapá,-0.012985,-51.11386
2024-06-24,Webcam,Informática,Sul,Carla Dias,11945,11,7833.122804374564,4111.88,Curitiba,-25.460936,-49.317962
2025-11-25,Headphone,Informática,Sul,Eva Santos,10008,27,1445.3325092188684,8562.67,Joinville,-26.286429,-48.859337
2024-06-08,SSD,Informática,Norte,Diego Lima,6415,24,2911.266179655712,3503.73,Boa Vista,2.805299,-60.675347
2024-07-31,Mouse,Periféricos,Leste,Eva Santos,4286,3,5857.054664343103,-1571.0500000000002,Desconhecida,,
2024-11-12,SSD,Informática,Sul,Ana Silva,11311,7,7714.434375410031,3596.57,Caxias do Sul,-29.19965,-51.205726
2024-07-10,Webcam,Informática,Oeste,Eva Santos,2839,8,1312.9476850927624,1526.05,Desconhecida,,
2025-10-09,Memória RAM,Periféricos,Sul,Bruno Costa,7340,19,1880.8492372192184,5459.15,Curitiba,-25.436774,-49.318375
2024-10-07,Headphone,Informática,Leste,Diego Lima,10668,18,1867.5018211722077,8800.5,Desconhecida,,
2025-03-06,Teclado,Armazenamento,Oeste,Bruno Costa,2960,13,245.78167357722225,2714.22,Desconhecida,,
2025-11-17,Webcam,Informática,Leste,Ana Silva,10858,13,4864.59574984912,5993.4,Desconhecida,,
2023-07-09,Headphone,Informática,Norte,Diego Lima,11813,24,5391.968347235479,6421.03,Boa Vista,2.857857,-60.635535
2024-09-24,SSD,Armazenamento,Oeste,Carla Dias,6302,19,4852.005049792007,1449.9899999999998,Desconhecida,,
2024-09-19,Memória RAM,Armazenamento,Leste,Eva Santos,162,23,644.8780761494896,-482.88,Desconhecida,,
2025-08-30,Headset,Armazenamento,Oeste,Bruno Costa,11312,12,628.3025959054031,10683.7,Desconhecida,,
2024-12-10,Memória RAM,Armazenamento,Leste,Ana Silva,6088,17,1746.2615115934625,4341.74,Desconhecida,,
2024-10-10,Headset,Informática,Oeste,Carla Dias,8149,28,2379.132564335404,5769.87,Desconhecida,,
2023-11-14,Mouse,Armazenamento,Leste,Eva Santos,7369,22,6309.425754807576,1059.5699999999997,Desconhecida,,
2024-11-14,Memória RAM,Armazenamento,Norte,Carla Dias,5478,12,1342.3709047314553,4135.63,Manaus,-3.142354,-60.057723
2024-10-25,Headphone,Periféricos,Oeste,Eva Santos,3771,28,429.2103538684545,3341.79,Desconhecida,,
2024-03-17,Headset,Armazenamento,Oeste,Diego Lima,3833,13,3200.3810610873966,632.6199999999999,Desconhecida,,
2024-07-17,Teclado,Armazenamento,Oeste,Carla Dias,8022,25,3377.8259875240087,4644.17,Desconhecida,,
2025-08-09,Headphone,Periféricos,Oeste,Carla Dias,11815,12,3651.186118456517,8163.809999999999,Desconhecida,,
2024-11-29,Teclado,Periféricos,Norte,Carla Dias,5460,19,6629.076068693591,-1169.08,Belém,-1.410914,-48.448565
2023-04-23,Memória RAM,Informática,Oeste,Diego Lima,11464,14,856.2028857778585,10607.8,Desconhecida,,
2023-01-02,Teclado,Periféricos,Sul,Ana Silva,11806,7,5655.22129278194,6150.78,Florianópolis,-27.591857,-48.513144
2024-10-03,Headset,Informática,Norte,Eva Santos,802,13,2756.528922678703,-1954.53,Macapá,0.065339,-51.066128
2023-08-08,Headphone,Periféricos,Sul,Carla Dias,5949,6,2535.042680568922,3413.96,Londrina,-23.291208,-51.190784
2025-05-04,SSD,Periféricos,Oeste,Diego Lima,8962,24,7465.741558600961,1496.2600000000002,Desconhecida,,
2024-01-20,Webcam,Informática,Leste,Ana Silva,3940,19,2047.870713380597,1892.13,Desconhecida,,
2025-12-12,Headset,Periféricos,Sul,Eva Santos,1795,19,5168.8521358877815,-3373.8500000000004,Blumenau,-26.907962,-49.10659
2024-12-30,Headset,Informática,Oeste,Diego Lima,10585,4,2259.0118384186494,8325.99,Desconhecida,,
2023-09-04,SSD,Periféricos,Sul,Eva Santos,4662,19,4096.57955051185,565.4200000000001,Porto Alegre,-29.991006,-51.253959
2025-04-15,Headphone,Armazenamento,Oeste,Carla Dias,4909,9,6307.439709362521,-1398.4399999999996,Desconhecida,,
2023-07-22,Headphone,Periféricos,Oeste,Ana Silva,11833,16,7063.242386248784,4769.76,Desconhecida,,
2023-05-03,Memória RAM,Informática,Oeste,Diego Lima,6024,27,6722.482143136798,-698.4799999999996,Desconhecida,,
2024-02-05,Teclado,Periféricos,Leste,Ana Silva,3838,4,4690.871430265547,-852.8699999999999,Desconhecida,,
2025-02-05,Memória RAM,Informática,Sul,Carla Dias,7839,6,2050.625217478719,5788.37,Curitiba,-25.416783,-49.306171
2023-10-21,SSD,Informática,Norte,Ana Silva,1529,8,5316.968395433977,-3787.97,Manaus,-3.112505,-60.014457
2023-10-07,Memória RAM,Armazenamento,Norte,Ana Silva,4393,27,5702.447962574495,-1309.4499999999998,Macapá,0.037163,-51.043008
2025-06-02,SSD,Armazenamento,Norte,Bruno Costa,10387,29,164.6805616989312,10222.32,Macapá,0.064824,-51.070185
2023-07-17,Headphone,Informática,Norte,Ana Silva,11390,24,3558.5472465804464,7831.45,Belém,-1.412676,-48.528227
2025-09-08,Teclado,Periféricos,Oeste,Eva Santos,9730,16,6758.635379148373,2971.36,Desconhecida,,
2025-01-21,Memória RAM,Informática,Sul,Diego Lima,6657,5,3957.533762244935,2699.47,Caxias do Sul,-29.152014,-51.187539
2023-05-24,Headset,Informática,Sul,Bruno Costa,7969,21,2546.0935019335034,5422.91,Blumenau,-26.902277,-49.082736
2024-08-31,Mouse,Periféricos,Leste,Diego Lima,8743,22,6984.6383465153285,1758.3599999999997,Desconhecida,,
2023-07-06,Webcam,Periféricos,Sul,Diego Lima,2803,10,1314.5751244360613,1488.42,Maringá,-23.443447,-51.946881
2024-04-08,Headset,Periféricos,Sul,Carla Dias,5761,23,1715.046240736307,4045.95,Caxias do Sul,-29.202039,-51.214622
2024-10-21,Headphone,Periféricos,Sul,Carla Dias,6277,13,5523.989146134176,753.0100000000002,Florianópolis,-27.551787,-48.55421
2025-02-02,Webcam,Informática,Leste,Bruno Costa,4073,29,2871.292656890474,1201.71,Desconhecida,,
2025-08-12,Mouse,Informática,Norte,Carla Dias,8609,26,5727.093339011529,2881.91,Belém,-1.412186,-48.46217
2024-02-07,Mouse,Armazenamento,Sul,Carla Dias,6062,14,1329.0126803751757,4732.99,Caxias do Sul,-29.169863,-51.191764
2023-05-27,Teclado,Informática,Leste,Carla Dias,5280,7,2077.9711896387,3202.03,Desconhecida,,
2025-05-13,Webcam,Periféricos,Leste,Diego Lima,5589,29,1320.647236639977,4268.35,Desconhecida,,
2024-05-03,Teclado,Armazenamento,Oeste,Bruno Costa,8030,20,7627.049683422996,402.9499999999998,Desconhecida,,
2025-07-17,Headset,Periféricos,Leste,Diego Lima,6599,6,3290.799369939319,3308.2,Desconhecida,,
2024-07-04,SSD,Informática,Norte,Eva Santos,1875,7,2750.7816864889896,-875.7800000000002,Manaus,-3.16777,-60.026268
2023-12-04,SSD,Armazenamento,Sul,Diego Lima,9454,5,192.48107687245644,9261.52,Londrina,-23.27196,-51.190064
2025-05-21,SSD,Periféricos,Leste,Eva Santos,7672,21,1295.0672289342283,6376.93,Desconhecida,,
2024-10-02,Webcam,Armazenamento,Norte,Ana Silva,11017,18,3415.395981440596,7601.6,Manaus,-3.077156,-59.993571
2024-04-17,SSD,Armazenamento,Leste,Ana Silva,4934,23,622.542117169401,4311.46,Desconhecida,,
2023-05-31,Headset,Informática,Leste,Eva Santos,9622,12,4125.055489689238,5496.94,Desconhecida,,
2023-09-20,Teclado,Periféricos,Leste,Eva Santos,1382,6,3683.7222726384266,-2301.72,Desconhecida,,
2023-05-24,Webcam,Armazenamento,Leste,Diego Lima,10205,27,6155.971671527268,4049.03,Desconhecida,,
2023-12-12,Teclado,Armazenamento,Leste,Eva Santos,8958,1,5305.637395090507,3652.36,Desconhecida,,
2024-09-15,Webcam,Periféricos,Norte,Bruno Costa,8488,4,3611.902658138944,4876.1,Porto Velho,-8.721497,-63.9475
2025-10-13,Teclado,Armazenamento,Sul,Ana Silva,7596,19,1859.312744832166,5736.6900000000005,Porto Alegre,-30.070298,-51.190023
2025-05-30,Mouse,Armazenamento,Sul,Ana Silva,4766,12,5836.759442861026,-1070.7600000000002,Porto Alegre,-30.06478,-51.176636
2023-01-02,Teclado,Armazenamento,Sul,Eva Santos,4875,15,5686.267859357297,-811.2700000000004,Florianópolis,-27.641784,-48.597457
2025-06-15,SSD,Periféricos,Sul,Carla Dias,3827,3,1294.1055912818683,2532.8900000000003,Londrina,-23.349334,-51.159007
2023-09-11,Mouse,Periféricos,Norte,Carla Dias,6437,23,7324.83450488919,-887.8299999999999,Palmas,-10.275245,-48.289359
2024-03-28,Teclado,Periféricos,Oeste,Eva Santos,8630,27,590.0885188391419,8039.91,Desconhecida,,
2025-11-26,Webcam,Periféricos,Oeste,Bruno Costa,1559,28,515.8986544303123,1043.1,Desconhecida,,
2025-10-11,Webcam,Informática,Norte,Carla Dias,8355,26,1563.8153078864218,6791.18,Rio Branco,-9.955588,-67.791102
2023-01-09,Webcam,Armazenamento,Norte,Eva Santos,406,20,7282.929520546268,-6876.93,Macapá,0.005078,-51.106908
2025-03-26,Headphone,Periféricos,Leste,Bruno Costa,1871,28,4198.385142372421,-2327.3900000000003,Desconhecida,,
2023-07-27,Headset,Armazenamento,Leste,Bruno Costa,1573,8,6320.492091729369,-4747.49,Desconhecida,,
2024-02-08,Webcam,Armazenamento,Leste,Diego Lima,5103,11,1884.518049565885,3218.48,Desconhecida,,
2023-06-01,Mouse,Informática,Sul,Bruno Costa,3140,16,3962.558039257628,-822.56,Curitiba,-25.459096,-49.296224
2023-02-23,Webcam,Periféricos,Leste,Carla Dias,1345,9,2917.6525519011475,-1572.65,Desconhecida,,
2024-09-19,Headphone,Periféricos,Oeste,Carla Dias,4709,3,6636.4025679642455,-1927.4,Desconhecida,,
2024-08-09,SSD,Armazenamento,Sul,Eva Santos,4515,5,259.02715972507485,4255.97,Curitiba,-25.474165,-49.234885
2023-04-14,Mouse,Periféricos,Leste,Eva Santos,1394,20,2011.2344213315544,-617.23,Desconhecida,,
2023-09-11,Headphone,Armazenamento,Sul,Bruno Costa,11565,14,1288.38785647484,10276.61,Caxias do Sul,-29.208628,-51.211047
2024-05-24,SSD,Armazenamento,Oeste,Ana Silva,6916,28,6884.77718667483,31.22000000000025,Desconhecida,,
2023-04-09,Memória RAM,Informática,Leste,Diego Lima,5452,26,3782.947289574624,1669.0500000000002,Desconhecida,,
2023-06-02,Memória RAM,Informática,Oeste,Ana Silva,11812,15,3281.422747634272,8530.58,Desconhecida,,
2025-07-02,Mouse,Informática,Oeste,Bruno Costa,1456,6,3639.903475840552,-2183.9,Desconhecida,,
2025-05-27,Teclado,Armazenamento,Oeste,Bruno Costa,10463,27,7777.642441562494,2685.36,Desconhecida,,
2023-12-04,Headset,Periféricos,Leste,Ana Silva,2552,26,6814.117763140519,-4262.12,Desconhecida,,
2025-04-01,Headset,Informática,Norte,Diego Lima,646,4,5674.440673054436,-5028.44,Belém,-1.454965,-48.499797
2025-08-14,Headphone,Periféricos,Leste,Ana Silva,3549,8,2380.5933570481766,1168.41,Desconhecida,,
2023-06-10,SSD,Informática,Oeste,Eva Santos,11948,19,1388.1701561861064,10559.83,Desconhecida,,
2025-03-11,Headset,Informática,Leste,Carla Dias,1059,27,7377.7543418736705,-6318.75,Desconhecida,,
2024-02-02,SSD,Armazenamento,Oeste,Eva Santos,522,5,3430.758140548144,-2908.76,Desconhecida,,
2025-03-26,SSD,Informática,Norte,Carla Dias,6386,13,2287.745931791543,4098.25,Belém,-1.464619,-48.499322
2024-02-05,Headphone,Informática,Sul,Bruno Costa,1494,16,3809.6929452276727,-2315.69,Maringá,-23.411669,-51.951596
2024-10-01,Headphone,Armazenamento,Norte,Diego Lima,8665,1,7349.351588737189,1315.6499999999996,Belém,-1.502194,-48.49836
2025-11-22,Headphone,Periféricos,Norte,Ana Silva,2581,13,3145.573122059042,-564.5700000000002,Macapá,0.007459,-51.062154
2024-11-18,Headset,Informática,Sul,Diego Lima,4820,22,4536.116698204948,283.8800000000001,Joinville,-26.297923,-48.8285
2024-04-04,Memória RAM,Armazenamento,Leste,Ana Silva,2934,11,6439.493104779849,-3505.49,Desconhecida,,
2025-08-12,Headphone,Informática,Sul,Eva Santos,10735,21,3462.8896459032585,7272.110000000001,Caxias do Sul,-29.139057,-51.174486
2024-04-14,Headset,Armazenamento,Leste,Eva Santos,9557,8,1929.651071256837,7627.35,Desconhecida,,
2025-11-11,Headphone,Periféricos,Leste,Ana Silva,1845,25,7956.643927193625,-6111.64,Desconhecida,,
2025-01-19,Webcam,Periféricos,Oeste,Diego Lima,2057,8,7656.041191021104,-5599.04,Desconhecida,,
2023-02-07,SSD,Armazenamento,Oeste,Ana Silva,4964,24,6760.355019474071,-1796.3599999999997,Desconhecida,,
