Data,Produto,Categoria,Região,Vendedor,Vendas,Quantidade,Custo
2024-11-30,Webcam,Armazenamento,Norte,Bruno Costa,5637,8,551.338545106677
2025-09-02,Memória RAM,Periféricos,Sul,Ana Silva,7401,9,2244.764703193854
2023-07-09,Mouse,Periféricos,Norte,Carla Dias,7460,14,7403.328491269438
2025-08-15,Mouse,Informática,Sul,Diego Lima,2549,5,2885.6283452588145
2024-11-17,Headset,Informática,Oeste,Bruno Costa,4790,21,5320.293347700627
2025-08-15,Headphone,Armazenamento,Norte,Ana Silva,3110,19,7996.011095316276
2024-07-16,Webcam,Periféricos,Leste,Carla Dias,10541,21,2163.512133561646
2025-04-11,Teclado,Periféricos,Norte,Carla Dias,7475,16,4642.56056179479
2024-10-08,Headset,Periféricos,Sul,Ana Silva,1619,24,5595.787318201528
2023-01-21,Headphone,Armazenamento,Norte,Ana Silva,11042,12,1383.847792798088
2025-04-20,Teclado,Periféricos,Oeste,Diego Lima,11347,21,1257.486704473762
2023-06-16,Mouse,Periféricos,Leste,Ana Silva,3524,4,3693.9586603327325
2024-01-23,Mouse,Armazenamento,Sul,Diego Lima,8997,8,3135.635172333572
2024-08-23,Teclado,Informática,Leste,Diego Lima,11110,7,5736.5862599099255
2023-11-12,Headset,Informática,Leste,Eva Santos,8384,15,630.509469872803
2023-01-14,Mouse,Armazenamento,Sul,Carla Dias,10653,6,7779.559660026268
2023-08-30,Webcam,Periféricos,Leste,Carla Dias,8073,5,193.07369495179228
2025-02-15,SSD,Armazenamento,Leste,Carla Dias,5272,14,4842.429248742317
2024-07-18,Memória RAM,Informática,Norte,Eva Santos,10002,21,4536.050159269716
2025-06-16,Teclado,Informática,Leste,Diego Lima,5537,13,1146.948588488228
2023-04-02,Teclado,Armazenamento,Leste,Diego Lima,7781,10,1275.254583091156
2025-08-13,Mouse,Armazenamento,Leste,Ana Silva,7376,18,6358.005703333444
2024-05-23,Headset,Informática,Leste,Eva Santos,5258,29,7109.49467062845
2025-02-14,Webcam,Armazenamento,Sul,Ana Silva,2374,4,2321.494369799455
2023-02-04,Headset,Informática,Oeste,Eva Santos,2260,8,3548.674594583542
2023-07-25,Headphone,Armazenamento,Norte,Ana Silva,1107,24,2891.5607250237604
2025-10-22,Headphone,Armazenamento,Leste,Bruno Costa,7296,11,654.572342854283
2025-10-18,SSD,Armazenamento,Leste,Carla Dias,710,17,5411.77762844521
2024-07-19,Mouse,Informática,Sul,Carla Dias,9672,18,6615.528043661066
2024-12-03,Mouse,Armazenamento,Oeste,Diego Lima,7563,21,2494.64451053836
2024-02-06,Mouse,Informática,Leste,Bruno Costa,1462,25,7922.192285555288
2024-12-30,SSD,Informática,Sul,Carla Dias,1971,26,680.744333676251
2023-06-11,Headphone,Armazenamento,Norte,Diego Lima,11344,11,5321.382453411005
2023-07-21,Headset,Armazenamento,Norte,Bruno Costa,11745,16,3629.9658750466247
2025-09-22,SSD,Informática,Leste,Carla Dias,5796,12,3617.0870567647144
2023-09-27,SSD,Informática,Leste,Ana Silva,5095,13,3704.553278985639
2025-03-26,Headset,Periféricos,Oeste,Eva Santos,5524,27,2128.759648507313
2024-03-31,Mouse,Informática,Oeste,Bruno Costa,2801,16,5747.257592471281
2025-10-13,Webcam,Periféricos,Leste,Diego Lima,10156,23,5794.886086593413
2023-10-23,Headset,Periféricos,Sul,Bruno Costa,10083,26,2316.58511203815
2024-12-20,Headphone,Periféricos,Oeste,Diego Lima,4851,21,6695.627169998926
2023-12-04,Teclado,Armazenamento,Leste,Bruno Costa,3027,1,2589.4119537106135
2025-05-28,Teclado,Armazenamento,Oeste,Diego Lima,5732,16,5822.737541973414
2025-12-12,Memória RAM,Informática,Leste,Carla Dias,11612,15,1038.3181586955661
2025-03-02,Memória RAM,Periféricos,Norte,Ana Silva,5540,6,1416.1170110056657
2023-08-05,SSD,Armazenamento,Leste,Carla Dias,4233,12,2581.101504505349
2025-02-02,Teclado,Armazenamento,Norte,Ana Silva,895,8,4783.480239929463
2023-07-07,Webcam,Armazenamento,Oeste,Carla Dias,8899,7,5192.450964991299
2024-01-15,Mouse,Armazenamento,Leste,Carla Dias,11643,2,3219.140881982401
2024-05-07,Headphone,Armazenamento,Oeste,Bruno Costa,1091,12,696.4860926352711
2025-11-30,Memória RAM,Periféricos,Norte,Eva Santos,4173,21,3039.1864445743763
2023-01-15,Webcam,Periféricos,Leste,Diego Lima,2446,14,5535.03872639648
2023-03-06,Headphone,Periféricos,Oeste,Diego Lima,1089,16,5394.284052152102
2024-06-04,Headphone,Periféricos,Norte,Diego Lima,1760,11,1348.7555925871065
2024-10-09,Mouse,Informática,Oeste,Ana Silva,6450,20,141.64904453021987
2025-12-22,SSD,Periféricos,Sul,Diego Lima,1875,9,6043.614408985245
2024-08-15,Teclado,Armazenamento,Norte,Diego Lima,9326,10,922.4358777711302
2024-01-27,Mouse,Periféricos,Norte,Bruno Costa,9929,17,732.2052201971411
2024-02-23,Webcam,Informática,Norte,Carla Dias,9678,12,101.39363732657466
2023-10-16,SSD,Armazenamento,Leste,Diego Lima,11479,6,3506.2025015788636
2024-01-14,Webcam,Periféricos,Leste,Eva Santos,9003,19,4065.85009513445
2023-08-19,SSD,Periféricos,Leste,Diego Lima,7337,11,5130.299245496838
2025-10-14,Memória RAM,Periféricos,Sul,Ana Silva,182,9,2424.82561844368
2023-02-10,Webcam,Armazenamento,Sul,Ana Silva,6135,21,5706.563753783297
2025-11-17,Mouse,Armazenamento,Norte,Ana Silva,3564,29,1421.1083106629771
2023-05-15,SSD,Informática,Sul,Diego Lima,1306,6,6669.361220633951
2023-07-20,SSD,Armazenamento,Oeste,Bruno Costa,3276,27,4609.038764812329
2025-02-18,Headphone,Armazenamento,Norte,Eva Santos,8402,25,4704.407401106623
2025-07-18,Headphone,Periféricos,Norte,Diego Lima,1693,25,1741.4212771305365
2025-11-22,Headset,Armazenamento,Oeste,Bruno Costa,421,24,666.9412944590749
2025-12-07,Webcam,Periféricos,Norte,Bruno Costa,5445,25,3760.6204403989177
2024-05-17,Headphone,Periféricos,Sul,Diego Lima,4226,16,4955.646659225083
2024-02-11,Headset,Armazenamento,Leste,Diego Lima,11730,20,832.76795260055
2025-03-15,Memória RAM,Informática,Oeste,Bruno Costa,6052,16,7608.23303826308
2023-04-09,Memória RAM,Informática,Sul,Bruno Costa,11094,6,7844.88173304383
2024-11-14,Headphone,Armazenamento,Oeste,Bruno Costa,2859,5,4400.017027508537
2024-12-26,Webcam,Informática,Oeste,Diego Lima,9496,21,7604.547709765377
2025-08-18,SSD,Periféricos,Norte,Bruno Costa,5371,4,1501.2062816403563
2024-09-04,Teclado,Periféricos,Norte,Ana Silva,10087,2,281.3318266218372
2024-10-04,Webcam,Armazenamento,Sul,Diego Lima,11774,28,392.12351949988823
2025-10-25,Mouse,Informática,Oeste,Ana Silva,8679,6,4733.098837060091
2024-05-17,Memória RAM,Informática,Norte,Carla Dias,6872,9,568.2037168196423
2025-02-05,Headphone,Periféricos,Norte,Diego Lima,8351,28,7671.681206046769
2024-02-02,Headphone,Armazenamento,Oeste,Carla Dias,4294,17,1204.1110292144367
2025-05-20,SSD,Informática,Sul,Bruno Costa,5756,14,2493.4046239395907
2025-03-05,Mouse,Armazenamento,Sul,Bruno Costa,6916,7,6594.34099182692
2024-01-28,SSD,Informática,Oeste,Eva Santos,880,22,1812.4233589844173
2023-07-26,Mouse,Periféricos,Sul,Bruno Costa,5040,19,2004.3101909601992
2025-11-04,Teclado,Periféricos,Norte,Carla Dias,1798,1,5167.086929864864
2025-06-10,Memória RAM,Armazenamento,Oeste,Bruno Costa,4378,29,2266.6018208349574
2025-05-13,Headphone,Periféricos,Norte,Diego Lima,11996,20,1802.1852613409862
2025-01-12,Headphone,Informática,Leste,Bruno Costa,2280,25,2093.0874973008076
2024-07-17,Teclado,Periféricos,Leste,Eva Santos,10738,15,3965.9281947785566
2025-10-17,Headset,Armazenamento,Sul,Bruno Costa,4516,18,7731.510992033338
2023-04-06,Memória RAM,Armazenamento,Leste,Carla Dias,1656,3,6671.324497164928
2024-04-29,SSD,Armazenamento,Norte,Carla Dias,2308,18,2334.113295316603
2023-08-19,Teclado,Informática,Leste,Bruno Costa,3066,2,2957.915811304934
2025-01-18,SSD,Informática,Norte,Carla Dias,3379,10,3758.9370239922932
2024-06-24,Webcam,Informática,Sul,Carla Dias,11945,11,7833.122804374564
2025-11-25,Headphone,Informática,Sul,Eva Santos,10008,27,1445.3325092188684
2024-06-08,SSD,Informática,Norte,Diego Lima,6415,24,2911.266179655712
2024-07-31,Mouse,Periféricos,Leste,Eva Santos,4286,3,5857.054664343103
2024-11-12,SSD,Informática,Sul,Ana Silva,11311,7,7714.434375410031
2024-07-10,Webcam,Informática,Oeste,Eva Santos,2839,8,1312.9476850927624
2025-10-09,Memória RAM,Periféricos,Sul,Bruno Costa,7340,19,1880.8492372192184
2024-10-07,Headphone,Informática,Leste,Diego Lima,10668,18,1867.5018211722074
2025-03-06,Teclado,Armazenamento,Oeste,Bruno Costa,2960,13,245.78167357722222
2025-11-17,Webcam,Informática,Leste,Ana Silva,10858,13,4864.59574984912
2023-07-09,Headphone,Informática,Norte,Diego Lima,11813,24,5391.968347235479
2024-09-24,SSD,Armazenamento,Oeste,Carla Dias,6302,19,4852.0050497920065
2024-09-19,Memória RAM,Armazenamento,Leste,Eva Santos,162,23,644.8780761494896
2025-08-30,Headset,Armazenamento,Oeste,Bruno Costa,11312,12,628.3025959054031
2024-12-10,Memória RAM,Armazenamento,Leste,Ana Silva,6088,17,1746.2615115934623
2024-10-10,Headset,Informática,Oeste,Carla Dias,8149,28,2379.132564335404
2023-11-14,Mouse,Armazenamento,Leste,Eva Santos,7369,22,6309.425754807576
2024-11-14,Memória RAM,Armazenamento,Norte,Carla Dias,5478,12,1342.3709047314553
2024-10-25,Headphone,Periféricos,Oeste,Eva Santos,3771,28,429.2103538684545
2024-03-17,Headset,Armazenamento,Oeste,Diego Lima,3833,13,3200.3810610873966
2024-07-17,Teclado,Armazenamento,Oeste,Carla Dias,8022,25,3377.8259875240087
2025-08-09,Headphone,Periféricos,Oeste,Carla Dias,11815,12,3651.1861184565173
2024-11-29,Teclado,Periféricos,Norte,Carla Dias,5460,19,6629.076068693591
2023-04-23,Memória RAM,Informática,Oeste,Diego Lima,11464,14,856.2028857778585
2023-01-02,Teclado,Periféricos,Sul,Ana Silva,11806,7,5655.22129278194
2024-10-03,Headset,Informática,Norte,Eva Santos,802,13,2756.528922678703
2023-08-08,Headphone,Periféricos,Sul,Carla Dias,5949,6,2535.042680568922
2025-05-04,SSD,Periféricos,Oeste,Diego Lima,8962,24,7465.741558600961
2024-01-20,Webcam,Informática,Leste,Ana Silva,3940,19,2047.870713380597
2025-12-12,Headset,Periféricos,Sul,Eva Santos,1795,19,5168.8521358877815
2024-12-30,Headset,Informática,Oeste,Diego Lima,10585,4,2259.0118384186494
2023-09-04,SSD,Periféricos,Sul,Eva Santos,4662,19,4096.57955051185
2025-04-15,Headphone,Armazenamento,Oeste,Carla Dias,4909,9,6307.439709362521
2023-07-22,Headphone,Periféricos,Oeste,Ana Silva,11833,16,7063.242386248784
2023-05-03,Memória RAM,Informática,Oeste,Diego Lima,6024,27,6722.482143136798
2024-02-05,Teclado,Periféricos,Leste,Ana Silva,3838,4,4690.871430265547
2025-02-05,Memória RAM,Informática,Sul,Carla Dias,7839,6,2050.625217478719
2023-10-21,SSD,Informática,Norte,Ana Silva,1529,8,5316.968395433977
2023-10-07,Memória RAM,Armazenamento,Norte,Ana Silva,4393,27,5702.447962574495
2025-06-02,SSD,Armazenamento,Norte,Bruno Costa,10387,29,164.6805616989312
2023-07-17,Headphone,Informática,Norte,Ana Silva,11390,24,3558.5472465804464
2025-09-08,Teclado,Periféricos,Oeste,Eva Santos,9730,16,6758.635379148373
2025-01-21,Memória RAM,Informática,Sul,Diego Lima,6657,5,3957.533762244935
2023-05-24,Headset,Informática,Sul,Bruno Costa,7969,21,2546.0935019335034
2024-08-31,Mouse,Periféricos,Leste,Diego Lima,8743,22,6984.6383465153285
2023-07-06,Webcam,Periféricos,Sul,Diego Lima,2803,10,1314.5751244360613
2024-04-08,Headset,Periféricos,Sul,Carla Dias,5761,23,1715.046240736307
2024-10-21,Headphone,Periféricos,Sul,Carla Dias,6277,13,5523.989146134176
2025-02-02,Webcam,Informática,Leste,Bruno Costa,4073,29,2871.292656890474
2025-08-12,Mouse,Informática,Norte,Carla Dias,8609,26,5727.093339011529
2024-02-07,Mouse,Armazenamento,Sul,Carla Dias,6062,14,1329.0126803751757
2023-05-27,Teclado,Informática,Leste,Carla Dias,5280,7,2077.9711896387
2025-05-13,Webcam,Periféricos,Leste,Diego Lima,5589,29,1320.6472366399773
2024-05-03,Teclado,Armazenamento,Oeste,Bruno Costa,8030,20,7627.049683422996
2025-07-17,Headset,Periféricos,Leste,Diego Lima,6599,6,3290.799369939319
2024-07-04,SSD,Informática,Norte,Eva Santos,1875,7,2750.7816864889896
2023-12-04,SSD,Armazenamento,Sul,Diego Lima,9454,5,192.48107687245644
2025-05-21,SSD,Periféricos,Leste,Eva Santos,7672,21,1295.0672289342283
2024-10-02,Webcam,Armazenamento,Norte,Ana Silva,11017,18,3415.395981440596
2024-04-17,SSD,Armazenamento,Leste,Ana Silva,4934,23,622.542117169401
2023-05-31,Headset,Informática,Leste,Eva Santos,9622,12,4125.055489689238
2023-09-20,Teclado,Periféricos,Leste,Eva Santos,1382,6,3683.7222726384266
2023-05-24,Webcam,Armazenamento,Leste,Diego Lima,10205,27,6155.971671527268
2023-12-12,Teclado,Armazenamento,Leste,Eva Santos,8958,1,5305.637395090507
2024-09-15,Webcam,Periféricos,Norte,Bruno Costa,8488,4,3611.9026581389444
2025-10-13,Teclado,Armazenamento,Sul,Ana Silva,7596,19,1859.312744832166
2025-05-30,Mouse,Armazenamento,Sul,Ana Silva,4766,12,5836.759442861026
2023-01-02,Teclado,Armazenamento,Sul,Eva Santos,4875,15,5686.267859357297
2025-06-15,SSD,Periféricos,Sul,Carla Dias,3827,3,1294.1055912818683
2023-09-11,Mouse,Periféricos,Norte,Carla Dias,6437,23,7324.83450488919
2024-03-28,Teclado,Periféricos,Oeste,Eva Santos,8630,27,590.0885188391419
2025-11-26,Webcam,Periféricos,Oeste,Bruno Costa,1559,28,515.8986544303123
2025-10-11,Webcam,Informática,Norte,Carla Dias,8355,26,1563.8153078864218
2023-01-09,Webcam,Armazenamento,Norte,Eva Santos,406,20,7282.929520546268
2025-03-26,Headphone,Periféricos,Leste,Bruno Costa,1871,28,4198.385142372421
2023-07-27,Headset,Armazenamento,Leste,Bruno Costa,1573,8,6320.492091729369
2024-02-08,Webcam,Armazenamento,Leste,Diego Lima,5103,11,1884.518049565885
2023-06-01,Mouse,Informática,Sul,Bruno Costa,3140,16,3962.5580392576276
2023-02-23,Webcam,Periféricos,Leste,Carla Dias,1345,9,2917.6525519011475
2024-09-19,Headphone,Periféricos,Oeste,Carla Dias,4709,3,6636.4025679642455
2024-08-09,SSD,Armazenamento,Sul,Eva Santos,4515,5,259.02715972507485
2023-04-14,Mouse,Periféricos,Leste,Eva Santos,1394,20,2011.2344213315544
2023-09-11,Headphone,Armazenamento,Sul,Bruno Costa,11565,14,1288.38785647484
2024-05-24,SSD,Armazenamento,Oeste,Ana Silva,6916,28,6884.77718667483
2023-04-09,Memória RAM,Informática,Leste,Diego Lima,5452,26,3782.9472895746244
2023-06-02,Memória RAM,Informática,Oeste,Ana Silva,11812,15,3281.422747634272
2025-07-02,Mouse,Informática,Oeste,Bruno Costa,1456,6,3639.9034758405523
2025-05-27,Teclado,Armazenamento,Oeste,Bruno Costa,10463,27,7777.642441562494
2023-12-04,Headset,Periféricos,Leste,Ana Silva,2552,26,6814.117763140519
2025-04-01,Headset,Informática,Norte,Diego Lima,646,4,5674.440673054436
2025-08-14,Headphone,Periféricos,Leste,Ana Silva,3549,8,2380.5933570481766
2023-06-10,SSD,Informática,Oeste,Eva Santos,11948,19,1388.1701561861064
2025-03-11,Headset,Informática,Leste,Carla Dias,1059,27,7377.7543418736705
2024-02-02,SSD,Armazenamento,Oeste,Eva Santos,522,5,3430.758140548144
2025-03-26,SSD,Informática,Norte,Carla Dias,6386,13,2287.745931791543
2024-02-05,Headphone,Informática,Sul,Bruno Costa,1494,16,3809.6929452276727
2024-10-01,Headphone,Armazenamento,Norte,Diego Lima,8665,1,7349.351588737189
2025-11-22,Headphone,Periféricos,Norte,Ana Silva,2581,13,3145.573122059042
2024-11-18,Headset,Informática,Sul,Diego Lima,4820,22,4536.116698204948
2024-04-04,Memória RAM,Armazenamento,Leste,Ana Silva,2934,11,6439.493104779849
2025-08-12,Headphone,Informática,Sul,Eva Santos,10735,21,3462.8896459032585
2024-04-14,Headset,Armazenamento,Leste,Eva Santos,9557,8,1929.651071256837
2025-11-11,Headphone,Periféricos,Leste,Ana Silva,1845,25,7956.643927193625
2025-01-19,Webcam,Periféricos,Oeste,Diego Lima,2057,8,7656.041191021104
2023-02-07,SSD,Armazenamento,Oeste,Ana Silva,4964,24,6760.355019474071
2023-08-18,Headphone,Armazenamento,Sul,Bruno Costa,930,28,5531.9211247365065
2024-07-16,Mouse,Armazenamento,Norte,Eva Santos,1169,14,2415.335774312
2024-03-13,SSD,Periféricos,Sul,Bruno Costa,11607,13,7314.230470259134
2023-01-27,SSD,Informática,Leste,Eva Santos,1553,3,2262.408827360132
2023-08-14,Headphone,Periféricos,Oeste,Eva Santos,1576,4,6422.4111978405135
2025-03-08,Memória RAM,Armazenamento,Sul,Carla Dias,9005,27,7352.604690095146
2023-10-11,Teclado,Armazenamento,Sul,Bruno Costa,6018,20,4855.790416204899
2025-05-28,Memória RAM,Periféricos,Oeste,Bruno Costa,10989,15,6440.205245698136
2025-08-17,Headphone,Armazenamento,Oeste,Carla Dias,160,15,6350.225185677833
2024-03-28,SSD,Periféricos,Oeste,Diego Lima,6480,27,1609.8093888781607
2025-10-16,Mouse,Armazenamento,Leste,Bruno Costa,9380,21,5369.96183088099
2025-03-26,SSD,Informática,Oeste,Ana Silva,2975,13,820.2660602831929
2024-10-20,Memória RAM,Informática,Norte,Carla Dias,7614,9,4102.173133648852
2024-06-30,Mouse,Armazenamento,Sul,Bruno Costa,3153,28,1364.9055412733737
2025-12-08,Headset,Periféricos,Oeste,Diego Lima,9417,25,3377.488030467739
2023-01-17,Webcam,Informática,Oeste,Bruno Costa,7345,10,6677.218031611626
2023-06-07,SSD,Periféricos,Leste,Eva Santos,6870,29,7898.369289871219
2024-04-21,Headphone,Armazenamento,Leste,Ana Silva,3238,12,2598.2418667441725
2025-12-05,Headset,Periféricos,Sul,Carla Dias,1939,14,4293.089134362759
2024-06-01,Webcam,Informática,Norte,Eva Santos,3186,1,4129.480353014269
2023-04-09,Headphone,Periféricos,Sul,Diego Lima,7527,14,7638.859957862042
2025-11-26,Teclado,Periféricos,Oeste,Eva Santos,7748,14,3870.3831608675664
2023-10-07,Headphone,Armazenamento,Norte,Eva Santos,4988,8,5616.921146765607
2024-05-11,Mouse,Armazenamento,Norte,Diego Lima,6022,16,7380.5707262195265
2023-10-29,Mouse,Armazenamento,Norte,Eva Santos,3803,14,3037.1581915317734
2023-06-30,Teclado,Informática,Norte,Carla Dias,11517,1,7224.80812690347
2024-08-29,Headset,Informática,Sul,Bruno Costa,4449,16,7346.253277376827
2024-11-30,Webcam,Armazenamento,Leste,Eva Santos,9418,18,7450.847031419675
2025-09-19,Headphone,Armazenamento,Leste,Carla Dias,1123,7,2221.933788933697
2023-07-10,Mouse,Informática,Oeste,Bruno Costa,7233,15,3250.8163066180714
2023-09-10,Headset,Informática,Leste,Bruno Costa,5644,24,6973.535593147559
2025-09-07,Teclado,Informática,Leste,Eva Santos,10207,17,2924.5616483009167
2025-07-16,Memória RAM,Informática,Leste,Carla Dias,11467,19,4834.00402083336
2023-05-08,SSD,Armazenamento,Leste,Eva Santos,9641,23,1014.9916974996115
2023-01-18,Memória RAM,Informática,Oeste,Diego Lima,3556,13,525.6979058410268
2024-07-19,Memória RAM,Armazenamento,Sul,Bruno Costa,5300,9,3342.992396778007
2024-07-23,Mouse,Periféricos,Norte,Eva Santos,9500,24,4665.0189381343225
2024-11-16,Teclado,Periféricos,Leste,Bruno Costa,3279,24,3190.1769778028156
2024-09-17,Headphone,Informática,Sul,Carla Dias,254,15,4655.667299673869
2025-05-03,Memória RAM,Periféricos,Leste,Ana Silva,7583,25,4159.4682592805375
2025-08-19,Memória RAM,Periféricos,Leste,Eva Santos,7839,26,5510.801255945721
2023-06-04,Webcam,Periféricos,Norte,Eva Santos,3717,3,5224.296854037887
2024-05-04,Mouse,Informática,Norte,Bruno Costa,4498,24,3440.0259693961143
2025-02-23,Mouse,Informática,Norte,Carla Dias,4540,1,3445.962304125317
2023-09-03,Headphone,Periféricos,Leste,Diego Lima,6961,16,1194.9644528968774
2025-11-28,SSD,Armazenamento,Leste,Carla Dias,1331,8,4144.849491003957
2025-01-28,Headset,Periféricos,Leste,Eva Santos,4794,29,4730.458694834718
2024-06-21,Webcam,Informática,Norte,Diego Lima,11480,23,3853.7960270423036
2025-07-09,Mouse,Informática,Oeste,Carla Dias,6023,13,2659.602093889032
2024-02-12,Webcam,Informática,Sul,Ana Silva,4544,8,5795.456470473748
2024-06-08,Mouse,Periféricos,Oeste,Bruno Costa,3684,17,671.3202255901746
2025-04-07,Webcam,Armazenamento,Leste,Carla Dias,5994,22,7322.3677284520545
2025-06-21,Teclado,Informática,Leste,Carla Dias,6089,23,243.49604120268282
2023-02-05,Memória RAM,Informática,Oeste,Ana Silva,11469,14,7701.813056831161
2024-11-15,Mouse,Periféricos,Leste,Eva Santos,6625,27,3741.8563594025263
2023-01-20,Webcam,Armazenamento,Sul,Bruno Costa,1924,21,3348.345956508046
2023-11-17,Headset,Periféricos,Leste,Carla Dias,8433,21,2111.0366183084498
2024-05-26,Teclado,Informática,Sul,Diego Lima,596,7,159.7633878716827
2024-02-04,Teclado,Armazenamento,Oeste,Carla Dias,258,27,2256.3388942206543
2024-10-15,Headset,Armazenamento,Oeste,Bruno Costa,3389,15,946.4474096458448
2025-08-29,Webcam,Informática,Leste,Carla Dias,6081,16,5305.781074131686
2024-04-15,Headphone,Armazenamento,Sul,Ana Silva,4203,19,2607.073780780152
2025-04-13,Headset,Armazenamento,Leste,Carla Dias,4687,6,6156.060280956999
2024-12-27,Webcam,Periféricos,Norte,Carla Dias,6511,23,1718.7762037812463
2025-05-03,Headset,Informática,Norte,Diego Lima,1395,1,7209.860070862307
2023-02-20,Headset,Informática,Norte,Ana Silva,2870,12,4222.013599638194
2024-07-28,Mouse,Informática,Norte,Ana Silva,8619,18,986.8890760343328
2023-05-30,Webcam,Informática,Leste,Carla Dias,11398,16,3254.6942663755535
2023-11-10,Headphone,Informática,Norte,Diego Lima,7891,12,1717.543350632512
2024-07-23,Memória RAM,Armazenamento,Sul,Carla Dias,5255,20,1661.5085752519792
2023-11-01,Mouse,Periféricos,Oeste,Carla Dias,3072,13,4090.4483222054946
2024-11-12,Headset,Informática,Oeste,Bruno Costa,2663,8,5401.384763840071
2025-04-17,Memória RAM,Periféricos,Norte,Bruno Costa,9180,27,7300.016187587152
2025-12-13,SSD,Periféricos,Norte,Diego Lima,2951,29,4057.123125248135
2025-09-29,Memória RAM,Armazenamento,Norte,Eva Santos,7131,26,7729.443098461975
2024-03-19,Headset,Informática,Leste,Bruno Costa,8371,22,7537.748028421081
2024-09-04,Headset,Armazenamento,Oeste,Eva Santos,6652,1,6931.295237476134
2025-09-19,Webcam,Informática,Norte,Ana Silva,6188,26,4039.819938502355
2023-09-21,Webcam,Armazenamento,Sul,Bruno Costa,6379,21,1195.9592340088295
2025-12-12,Mouse,Periféricos,Norte,Bruno Costa,9599,7,1805.8034009378484
2025-09-30,Headphone,Informática,Oeste,Diego Lima,514,15,5209.546421478847
2023-01-05,Mouse,Periféricos,Norte,Eva Santos,1950,29,3420.299443850833
2025-02-12,Teclado,Periféricos,Oeste,Bruno Costa,6108,22,1242.6689234916516
2025-05-26,Headset,Armazenamento,Norte,Bruno Costa,9246,13,3873.6319544233384
2025-09-18,Memória RAM,Informática,Sul,Diego Lima,7586,13,218.04992037620372
2025-06-02,SSD,Periféricos,Norte,Diego Lima,4943,28,5892.451337524778
2023-02-16,Headset,Armazenamento,Sul,Eva Santos,10520,9,662.7638523583516
2025-05-16,Headset,Informática,Sul,Ana Silva,11192,24,5062.579869703983
2025-04-02,Mouse,Informática,Norte,Ana Silva,8310,15,6360.641636394747
2025-07-24,SSD,Periféricos,Sul,Carla Dias,11178,4,1130.539485675407
2024-10-17,SSD,Informática,Leste,Bruno Costa,329,13,4187.618430074819
2023-09-26,SSD,Periféricos,Norte,Eva Santos,4023,27,6250.214713726999
2024-01-05,Mouse,Informática,Norte,Bruno Costa,4110,12,2144.216961675451
2024-09-27,Headset,Armazenamento,Sul,Eva Santos,1336,5,1370.2994165728232
2024-10-18,Mouse,Periféricos,Sul,Eva Santos,923,7,2747.6073588622585
2023-04-30,Webcam,Periféricos,Norte,Eva Santos,4610,8,4473.217478539861
2025-04-10,Webcam,Informática,Leste,Bruno Costa,502,5,4636.21439124962
2025-12-17,Mouse,Informática,Sul,Diego Lima,7093,9,1116.540560984881
2025-01-10,SSD,Periféricos,Sul,Bruno Costa,5352,14,3703.9452735778555
2023-04-27,Headset,Informática,Oeste,Eva Santos,5494,26,2204.794988672744
2025-03-01,Mouse,Armazenamento,Leste,Carla Dias,4657,12,6748.83180707441
2025-10-09,Mouse,Informática,Leste,Ana Silva,4980,4,2563.515045947124
2025-12-17,Mouse,Armazenamento,Norte,Eva Santos,11370,20,6722.539834308168
